airtable_id,org_short_name,org_full_name,crafd_connection,org_type,relational_project,logo_slug,org_url,total_grant_size
recHKayBVNHm8QsXP,PRIO,Peace Research Institute Oslo (PRIO),"['Project lead partner', 'Collaborating partner']",Research Entity,"['recovFaPBY6M8k5Ow', 'reciI9Y9kF8R90HMa', 'recKB3FnVyFkRNwXZ']",prio,https://www.prio.org/,1500000.0
recrPeYq39rhXpYlw,PSCCW,Psychosocial Counselling Center for Women,['Collaborating partner'],Non-Governmental Organization,['recN7H5G0nlU4k3TS'],psccw,https://www.psccw.org/   (Psychosocial Counselling Center for Women),
rec3glPJJtfcztggh,Protect Defenders,ProtectDefenders.eu,['Collaborating partner'],Network,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",protect-defenders,https://protectdefenders.eu,
recivcR2hSHFfyvT8,RCCC,Red Cross Red Crescent Climate Centre (RCCC),"['Project lead partner', 'Collaborating partner']",Red Cross,"['recVQtT1tEPJ0Zhwv', 'recvpn8u6HBffMRWu']",rccc,https://www.climatecentre.org/,499986.0
recV9NGqXFt9upTiD,REACH,REACH,['Collaborating partner'],Non-Governmental Organization,['recN7H5G0nlU4k3TS'],,https://www.impact-initiatives.org/what-we-do/reach/,
reccrXdMvRpnCJQXI,REGAH,Réseau pour l'Égalité du Genres dans l'Action Humanitaire en Haïti (REGAH),['Implementing partner'],Network,['recN7H5G0nlU4k3TS'],regah,https://response.reliefweb.int/haiti/egalite-du-genre-dans-laction-humanitaire-en-haiti,
reciSbDaT9ZALvizJ,ROC,Reach Out Cameroon,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",roc,https://reachoutcameroon.org,
rec8ogUa6PWpDwXM7,Ridgeway,Ridgeway Information Ltd.,['Implementing partner'],Private Sector,['recDLaWeOg2tT9IM2'],ridgeway,https://www.ridgeway-information.com/,
recZz9cnLXGUV3iNC,SAR,Scholars At Risk SAR,['Collaborating partner'],Network,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",sar,https://scholarsatrisk.org,
rec4VAOW9S6UKO2dA,SNHR,Syrian Network for Human Rights (SNHR),['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",snhr,https://snhr.org,
recW31L57JYruqoxN,SRMO,Safety and Risk Mitigation Organization,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",srmo,https://srmo.org,
reczAYK2VasZ2H6NL,Sana’a Center,Sanáa Center for Strategic Studies,['Collaborating partner'],Research Entity,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",sana’a-center,https://sanacss.org,
